Feature,Coefficients,abs_coefficients
power consumption,-0.0070720049790532384,0.0070720049790532384
h2,0.007071779263351128,0.007071779263351128
nuclear fuel cycle,-0.007036209145961686,0.007036209145961686
green power,0.007028816958145232,0.007028816958145232
life cycle assessment,-0.006962405733552307,0.006962405733552307
cell,-0.006943849963714778,0.006943849963714778
pv power,0.006820852114666954,0.006820852114666954
hydrogen fuel,0.006758227118411228,0.006758227118411228
industries,0.006747492279269988,0.006747492279269988
biomass energy,0.006718827843247547,0.006718827843247547
hydroelectric energy,0.006666462869110972,0.006666462869110972
clean fuel,0.006498493146560516,0.006498493146560516
low cost,-0.006474564141750912,0.006474564141750912
dam,-0.006453029381177607,0.006453029381177607
emission abatement,0.006442411636393364,0.006442411636393364
global solar radiation,0.006394142962896916,0.006394142962896916
bus,-0.0063244233595397825,0.0063244233595397825
smart city,-0.00628078981062843,0.00628078981062843
international cooperation,0.0062749280382467555,0.0062749280382467555
offshore wind energy,-0.006250329860641455,0.006250329860641455
cells,-0.0062212127711234735,0.0062212127711234735
modern energy,0.006201371481910416,0.006201371481910416
energy productivity,-0.0061973383303567916,0.0061973383303567916
developing countries,0.006061262702770544,0.006061262702770544
energy sustainability,0.005971020706451499,0.005971020706451499
energy smart,0.005971020706451499,0.005971020706451499
wind power plant,0.005950517011131518,0.005950517011131518
surge,-0.005937268874609397,0.005937268874609397
energy storage system,0.00590119382243619,0.00590119382243619
official development assistance,0.005886679443899656,0.005886679443899656
renewable energy production,0.005862831479001285,0.005862831479001285
thermal power plants,-0.005839970387645672,0.005839970387645672
homes,-0.005829012635154883,0.005829012635154883
energy supply chain,-0.0058248691747767025,0.0058248691747767025
biodiversity,-0.005799850643286475,0.005799850643286475
fuel cell,0.005771140972962094,0.005771140972962094
rural energy,-0.005763982020659699,0.005763982020659699
clean energy development,-0.005757466025394322,0.005757466025394322
pollution,-0.005589934617786349,0.005589934617786349
renewable biomass,0.005407747670613127,0.005407747670613127
light water reactor,0.005399076420157754,0.005399076420157754
rover,-0.005393042112062199,0.005393042112062199
intermittent power,0.00534117189617421,0.00534117189617421
urban,-0.005319018667798586,0.005319018667798586
superconducting magnetic energy storage,0.005306672382184139,0.005306672382184139
climate protection,0.005280870278390948,0.005280870278390948
energy equity,0.005230152919540937,0.005230152919540937
islanding,0.0052268748434466435,0.0052268748434466435
energy supply,0.005144088910667119,0.005144088910667119
monte carlo,0.005095981437467229,0.005095981437467229
wind penetration,0.004979066588551822,0.004979066588551822
microgrid,0.004929797293293766,0.004929797293293766
microgrids,0.004929797293293766,0.004929797293293766
higher power,0.004908385335130244,0.004908385335130244
monopile,0.004906046359440407,0.004906046359440407
factory,-0.0048350955851671155,0.0048350955851671155
low-carbon economy,0.004825512484757565,0.004825512484757565
conference of the parties,-0.004792110100127073,0.004792110100127073
gene,0.004777457926902224,0.004777457926902224
electric cars,-0.004684810365653851,0.004684810365653851
renewable energy system,0.004632122836262195,0.004632122836262195
dish,-0.004631309875346731,0.004631309875346731
renewable energy certificate,0.00456973318979106,0.00456973318979106
marine,-0.004423756694982088,0.004423756694982088
space,-0.004357965114871915,0.004357965114871915
fusion,0.004342385575971643,0.004342385575971643
industry,0.004280689011883259,0.004280689011883259
gdp,-0.004276802906227278,0.004276802906227278
development of the energy sector,-0.004260070033214594,0.004260070033214594
ocean,-0.004246098834312858,0.004246098834312858
ship,-0.0042005374637659266,0.0042005374637659266
poor,-0.0041559476320514425,0.0041559476320514425
household,-0.004155785019148963,0.004155785019148963
housing,-0.003882275932600944,0.003882275932600944
energy potential,0.003874128534521698,0.003874128534521698
solar technology,0.0038451813306861556,0.0038451813306861556
clean energy investments,-0.0038391860534198285,0.0038391860534198285
tidal stream,0.0038217422636341175,0.0038217422636341175
renewable energy consumption,-0.003777247594005206,0.003777247594005206
charcoal,-0.0036934444176924147,0.0036934444176924147
automotive,-0.003609473184932691,0.003609473184932691
energy ladder,-0.003512706796067883,0.003512706796067883
world energy outlook,-0.0034990125979739994,0.0034990125979739994
international,-0.0034685179736783913,0.0034685179736783913
renewable energy generation,0.0034373720921750703,0.0034373720921750703
energy plan,-0.0033955443838715803,0.0033955443838715803
solar potential,0.003375608397703408,0.003375608397703408
boats,-0.00335403785968119,0.00335403785968119
hybrid energy,-0.0032194184573968035,0.0032194184573968035
hybrid energy system,-0.0032194184573968005,0.0032194184573968005
low-carbon power,0.003133978234087086,0.003133978234087086
transportation,0.003081114766196017,0.003081114766196017
non-renewable resource,0.003010253140773389,0.003010253140773389
energy conservation measure,0.003008778000674215,0.003008778000674215
hev,0.002992382739924593,0.002992382739924593
fish,-0.0029866677374937992,0.0029866677374937992
detection,0.0029497099009021355,0.0029497099009021355
iss,0.002911973159617384,0.002911973159617384
building,-0.0028717875924364907,0.0028717875924364907
house,-0.002770168992442818,0.002770168992442818
district energy,0.002695445728578621,0.002695445728578621
energy saving ac,0.002654303795181237,0.002654303795181237
energy statistics,0.0026220890215481493,0.0026220890215481493
public transport,-0.002554520217772614,0.002554520217772614
energy independence,-0.002376883867875066,0.002376883867875066
combustion engine,-0.0023190266507452048,0.0023190266507452048
eco-friendly,0.0022970591559803638,0.0022970591559803638
energy sector,0.002276429698681962,0.002276429698681962
smart meters,0.0022607441998816146,0.0022607441998816146
industrial,0.0022188665584105217,0.0022188665584105217
electrical grid,0.002112741728398667,0.002112741728398667
wind power in denmark,0.002110144951592854,0.002110144951592854
cogeneration,0.002107450699770335,0.002107450699770335
solar thermal,0.0020464777297108604,0.0020464777297108604
mars,-0.002044889324963718,0.002044889324963718
aswan,0.002011974620815862,0.002011974620815862
energy-saving measures,0.0019382979997918759,0.0019382979997918759
energy modeling,-0.0019048059989405569,0.0019048059989405569
modern,0.0018749072211778277,0.0018749072211778277
glass,-0.0018723825270485456,0.0018723825270485456
wind generation,-0.001863822140356119,0.001863822140356119
solar heat,0.0018315743396877643,0.0018315743396877643
off-grid renewable,-0.0018109353831874458,0.0018109353831874458
energy efficient technologies,-0.0017921495789833808,0.0017921495789833808
public transit,-0.0017642923981063157,0.0017642923981063157
location,-0.0017029474838856768,0.0017029474838856768
energy auditing,-0.0016808013153777274,0.0016808013153777274
geothermal,0.0016715646233876815,0.0016715646233876815
geotherm,0.0016715646233876806,0.0016715646233876806
offshore wind turbines,0.0016292559462552857,0.0016292559462552857
green,-0.0015935510605424134,0.0015935510605424134
free cooling,0.0015527294847859474,0.0015527294847859474
aircraft,-0.0015377901213820932,0.0015377901213820932
power grid,0.0014256577539695076,0.0014256577539695076
distributed generation,0.0014206973584149774,0.0014206973584149774
technology transfer,0.0014104497162562143,0.0014104497162562143
ships,-0.0013736730158959137,0.0013736730158959137
restoration,-0.0013451931844930055,0.0013451931844930055
energy mix,-0.001342971275086147,0.001342971275086147
economic cooperation,0.0013113980627311478,0.0013113980627311478
enercon,0.0012143299960669638,0.0012143299960669638
liquefied natural gas,-0.0012058303153420903,0.0012058303153420903
home,-0.0011771210756495662,0.0011771210756495662
boron,-0.0011721243965357175,0.0011721243965357175
cooperation,-0.0011478696547089892,0.0011478696547089892
energy crop,0.0011331792280216124,0.0011331792280216124
city bus,0.0010235517653294298,0.0010235517653294298
rural,0.0009312740037094078,0.0009312740037094078
renewable resource,0.0009095711334613102,0.0009095711334613102
solar powered,0.0009044924775111653,0.0009044924775111653
train,-0.0009041908419140914,0.0009041908419140914
energy security,-0.0008786823521165124,0.0008786823521165124
owc,0.0008441678059052504,0.0008441678059052504
wind energy generation,-0.0008355307610269831,0.0008355307610269831
tractor,0.0008325656611397452,0.0008325656611397452
small hydro,-0.0007775729466617563,0.0007775729466617563
car,-0.0007465283799562101,0.0007465283799562101
hydropower,-0.0007427725625944138,0.0007427725625944138
trains,0.0007347659001360156,0.0007347659001360156
climate policy,0.0006566352450973188,0.0006566352450973188
exploitation,0.0005428574739862863,0.0005428574739862863
district,-0.0004954400995158993,0.0004954400995158993
the poor,-0.000491067624580846,0.000491067624580846
photovoltaic electricity,-0.00034904397455720116,0.00034904397455720116
energy performance,0.00030685302406538044,0.00030685302406538044
guri,-0.0002555626909204442,0.0002555626909204442
variable renewable energy,0.0002037222586790088,0.0002037222586790088
market transformation,-0.00019468393363128653,0.00019468393363128653
photovoltaic power plants,0.00017720962762081375,0.00017720962762081375
ammonia,0.00011274028334260828,0.00011274028334260828
hydrogen technologies,8.50699815970526e-05,8.50699815970526e-05
diffuser-augmented wind turbine ,0.0,0.0
compressed air energy storage,0.0,0.0
wind plant,0.0,0.0
clean coal technology,0.0,0.0
biobus,0.0,0.0
dye-sensitized solar cells ,0.0,0.0
wind generator,0.0,0.0
smart street light* or ,0.0,0.0
energy converter,0.0,0.0
investment* ,0.0,0.0
solar mission,0.0,0.0
rotors,0.0,0.0
rotor,0.0,0.0
solar thermal energy,0.0,0.0
offgrid,0.0,0.0
ocean thermal energy conversion,0.0,0.0
low energy smartphone* or ,0.0,0.0
led street light* or ,0.0,0.0
thermal energy storage,0.0,0.0
wake-up control* or ,0.0,0.0
hybrid electric vehicles,0.0,0.0
hybrid electric,0.0,0.0
heat storage,0.0,0.0
heat network,0.0,0.0
smart dishwasher* or ,0.0,0.0
energy storage system ,0.0,0.0
vehicle-to-grid,0.0,0.0
energy efficient smartphone* or ,0.0,0.0
zero energy smartphone* or ,0.0,0.0
