Feature,Coefficients,abs_coefficients
water,0.0964946429451434,0.0964946429451434
water quality,0.07190815189268523,0.07190815189268523
aquifer,0.06486472014075274,0.06486472014075274
transboundary,0.062037485927742615,0.062037485927742615
river,0.05535566745908233,0.05535566745908233
water resources management,0.050179743718341864,0.050179743718341864
water governance,0.04710762727964694,0.04710762727964694
desalination,0.04632935224943492,0.04632935224943492
lagoon,0.04585844556698153,0.04585844556698153
sewage,0.04324565616585584,0.04324565616585584
sanitation services,0.04300720543218513,0.04300720543218513
nitrate,0.04275584968061043,0.04275584968061043
storm,-0.04155520526646964,0.04155520526646964
freshwater,-0.040573447488933136,0.040573447488933136
water supply,0.03981447898808908,0.03981447898808908
sanitation service,0.03923581684622258,0.03923581684622258
groundwater,0.0386601571020688,0.0386601571020688
drinking water,0.03585384775421952,0.03585384775421952
irrigation,0.03550840243046459,0.03550840243046459
lake,0.03526867470003159,0.03526867470003159
water supply and sanitation,0.032868684350371075,0.032868684350371075
basin management,0.029939854610937042,0.029939854610937042
contamination,0.029287296292070688,0.029287296292070688
reservoir,0.029023383084030338,0.029023383084030338
water policy,0.027237508344392827,0.027237508344392827
rivers,-0.024412023532996877,0.024412023532996877
iwrm,0.0240481461508503,0.0240481461508503
drinking ,0.023999026674769386,0.023999026674769386
water saving,-0.023343276985935142,0.023343276985935142
water resource,0.02296904162248197,0.02296904162248197
water infrastructure,-0.02295682736242412,0.02295682736242412
pollution,0.022547560709262785,0.022547560709262785
water consumption,-0.021903712627004548,0.021903712627004548
wastewater,0.02121429437226556,0.02121429437226556
water right,0.021210859783880407,0.021210859783880407
water resources,0.021056049688712164,0.021056049688712164
water policies,0.02095756782181608,0.02095756782181608
wwtp,0.019885716308307384,0.019885716308307384
lakes,-0.019083256064555708,0.019083256064555708
sanitation and hygiene,0.018817450644238197,0.018817450644238197
desalination plant,0.018732056713464566,0.018732056713464566
sanitation,0.01858520957425764,0.01858520957425764
integrated water resource,0.018541666804715484,0.018541666804715484
water allocation,0.018538935023081977,0.018538935023081977
effluent,0.018483622823766196,0.018483622823766196
water demands,0.0184532134906592,0.0184532134906592
urban water,-0.018217290583363435,0.018217290583363435
water footprint,-0.01820861564201647,0.01820861564201647
groundwater resources,0.018175875833909172,0.018175875833909172
effluents,0.01786158382514647,0.01786158382514647
wastewaters,0.017471901750853374,0.017471901750853374
clean water,-0.0174290814005152,0.0174290814005152
nitrates,0.01676798296201952,0.01676798296201952
groundwater irrigation,0.016743713190802954,0.016743713190802954
sediment,-0.016712683751542144,0.016712683751542144
sewerage,0.016543390143095953,0.016543390143095953
groundwaters,0.0165112958142425,0.0165112958142425
efficient water use,0.01645552370657191,0.01645552370657191
ground water,-0.016205786710595707,0.016205786710595707
stream,0.016167989774660045,0.016167989774660045
erosion,-0.01610218356381117,0.01610218356381117
water tariff,0.015647106120989844,0.015647106120989844
water shortage,0.015448553572214366,0.015448553572214366
contaminants,0.01520690881034287,0.01520690881034287
runoff,0.015041588805144146,0.015041588805144146
protection of,0.01502170276631687,0.01502170276631687
shortage,0.014972041980040922,0.014972041980040922
contaminant,0.01485597802798406,0.01485597802798406
river basin management plans,0.014776395755589528,0.014776395755589528
efficient irrigation,-0.014127211734614273,0.014127211734614273
water supply and demand,-0.014107028932096893,0.014107028932096893
aquifers,0.01396981974783125,0.01396981974783125
settlements,0.013908113286279488,0.013908113286279488
water savings,-0.013889025668399085,0.013889025668399085
dry season,-0.01382847302284412,0.01382847302284412
water pricing,-0.013670105003160102,0.013670105003160102
surface water resources,0.013363291677991987,0.013363291677991987
hydrology,0.013198729698966736,0.013198729698966736
"water, sanitation and hygiene",0.01311251274776949,0.01311251274776949
sustainable water,-0.012984861839858839,0.012984861839858839
irrigation system,0.012929454409292133,0.012929454409292133
basic sanitation,0.012916180064120156,0.012916180064120156
drinking,0.012863546284156294,0.012863546284156294
discharge,0.012747397657522672,0.012747397657522672
water projects,0.012679593614332565,0.012679593614332565
water uses,-0.012675108023095924,0.012675108023095924
water use,0.01263418562542021,0.01263418562542021
drinking water supply,0.012430720846751604,0.012430720846751604
irrigation systems,0.01240861716972663,0.01240861716972663
sanitation sector,0.012379227444838627,0.012379227444838627
groundwater-dependent ecosystems,-0.012178152813344913,0.012178152813344913
water pollution,-0.0121526554675724,0.0121526554675724
